Aniline,Ligand,Additive,Base,Aryl halide,Product,Yield
CC1=CC=C(N)C=C1,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1onc(c1)C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Clc1ccccn1,CC(C=C1)=CC=C1Nc2ncccc2,0.7041045785
CC1=CC=C(N)C=C1,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,COC(=O)c1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Brc1ccccn1,CC(C=C1)=CC=C1Nc2ncccc2,0.1106445724
CC1=CC=C(N)C=C1,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,COC(=O)c1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)I,CCc1ccc(NC2=CC=C(C)C=C2)cc1,0.10223549650000001
CC1=CC=C(N)C=C1,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,CCOC(=O)c1conc1,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)Cl)(F)F,FC(F)(F)c1ccc(NC2=CC=C(C)C=C2)cc1,0.200833829
CC1=CC=C(N)C=C1,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1onc(c1)C,CN1CCCN2C1=NCCC2,COc1ccc(cc1)Cl,COc1ccc(NC2=CC=C(C)C=C2)cc1,0.00492662711
CC1=CC=C(N)C=C1,CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1ccon1,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)Cl,COc1ccc(NC2=CC=C(C)C=C2)cc1,0.005535074839999999
CC1=CC=C(N)C=C1,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1cnoc1C,CN1CCCN2C1=NCCC2,Brc1cccnc1,CC(C=C1)=CC=C1Nc2cnccc2,0.4317813797
CC1=CC=C(N)C=C1,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1ccon1,CN1CCCN2C1=NCCC2,Ic1ccccn1,CC(C=C1)=CC=C1Nc2ncccc2,0.6951698512000001
CC1=CC=C(N)C=C1,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1ccon1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)Br,CCc1ccc(NC2=CC=C(C)C=C2)cc1,0.01023181291
CC1=CC=C(N)C=C1,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)c1conc1,CN(C(=NC(C)(C)C)N(C)C)C,Brc1ccccn1,CC(C=C1)=CC=C1Nc2ncccc2,0.3553815083
