	One Hot Encoding	Number of Compounds	Yield
0	0 1 2 3 4 5	50	0.7041045785
1	0 2 3 5 6 7	50	0.1106445724
2	0 3 7 8 9 10	50	0.1022354965
3	0 11 12 13 14 15	50	0.200833829
4	0 2 4 13 16 17	50	0.00492662711
5	0 16 17 18 19 20	50	0.005535074839999999
6	0 2 13 21 22 23	50	0.43178137969999997
7	0 5 9 13 24 25	50	0.6951698512000001
8	0 2 3 10 20 26	50	0.010231812909999999
9	0 5 6 9 19 27	50	0.3553815083
10	0 3 12 23 28 29	50	0.08504748029999999
11	0 3 18 23 28 30	50	0.18412337
12	0 9 10 19 31 32	50	0.01036456102
13	0 10 12 13 31 33	50	0.04961974313
14	0 5 6 9 13 34	50	0.5541075315999999
15	0 13 18 23 28 35	50	0.0
16	0 2 3 22 23 36	50	0.1436942688
17	0 1 5 18 19 34	50	0.6239976577
18	0 2 8 10 13 33	50	0.7308177999000001
19	0 2 3 17 37 38	50	0.4252691913
20	0 3 5 6 18 34	50	0.6457811697
21	0 12 15 19 39 40	50	0.3818576353000001
22	0 12 19 20 21 23	50	0.597949718
23	0 10 18 19 31 35	50	0.00638545637
24	0 3 5 6 7 9	50	0.0980291595
25	0 2 3 17 40 41	50	0.33207418050000004
26	0 2 5 6 19 42	50	0.3745572206
27	0 5 9 19 24 25	50	0.6346127974
28	0 3 5 9 24 43	50	0.5110248957
29	0 9 19 23 36 38	50	0.2722195897
30	0 13 15 18 20 44	50	0.40097232369999997
31	0 5 6 18 19 35	50	0.7109717455000001
32	0 2 3 11 15 45	50	0.07764964199999999
33	0 2 15 19 34 39	50	0.3790012178
34	0 3 18 21 23 29	50	0.2241656552
35	0 2 17 19 30 41	50	0.5139664392000001
36	0 16 17 18 19 46	50	0.0
37	0 3 9 23 32 36	50	0.2133105034
38	0 10 13 18 26 47	50	0.7155294754000001
39	0 2 11 15 19 35	50	0.02443106533
40	0 2 3 17 30 41	50	0.5463240731
41	0 3 15 18 39 43	50	0.4508048043
42	0 5 13 18 24 48	50	0.9756849953
43	0 9 15 19 44 45	50	0.38916903909999995
44	0 8 10 12 13 47	50	0.7597219171999999
45	0 11 12 15 19 25	50	0.1350296194
46	0 9 13 20 21 23	50	0.2207470925
47	0 2 4 13 23 36	50	0.9212702212
48	0 2 3 23 36 49	50	0.7404736649
49	0 2 17 19 41 47	50	0.3970763397000001
50	0 3 8 10 12 32	50	0.6689026204999999
51	0 12 13 15 35 39	50	0.4173289196
52	0 15 18 19 39 43	50	0.46258380159999996
53	0 9 19 21 23 43	50	0.2651352578
54	0 8 9 10 13 25	50	0.6626745696999999
55	0 3 5 18 24 43	50	0.6620793624
56	0 2 13 14 15 39	50	0.2445376754
57	0 3 12 17 33 37	50	0.4667086698
58	0 8 10 12 13 35	50	0.7357415684
59	0 3 9 10 31 42	50	0.07911192524999999
60	0 3 4 12 17 37	50	0.4781434881
61	0 2 13 17 25 37	50	0.5010834683000001
