	Reaction SMILES	Yield
0	Clc1ccccn1.Cc1ccc(cc1)N.Cc1onc(c1)C.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1ccccn1	0.7041045785
1	Brc1ccccn1.Cc1ccc(cc1)N.COC(=O)c1ccno1.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1ccccn1	0.1106445724
2	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COC(=O)c1ccno1.CCc1ccc(cc1)I.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.1022354965
3	FC(c1ccc(cc1)Cl)(F)F.CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC.CCOC(=O)c1conc1>>Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0.200833829
4	CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.Cc1onc(c1)C.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.COc1ccc(cc1)Cl>>COc1ccc(cc1)Nc1ccc(cc1)C	0.00492662711
5	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COc1ccc(cc1)Cl.CCOC(=O)c1ccon1>>COc1ccc(cc1)Nc1ccc(cc1)C	0.005535074839999999
6	CN1CCCN2C1=NCCC2.Brc1cccnc1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCOC(=O)c1cnoc1C>>Cc1ccc(cc1)Nc1cccnc1	0.43178137969999997
7	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.CN1CCCN2C1=NCCC2.Cc1ccon1.Ic1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.6951698512000001
8	Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCc1ccc(cc1)Br.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C.CCOC(=O)c1ccon1>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.010231812909999999
9	c1ccc(cc1)c1conc1.CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Brc1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.3553815083
