	Aniline	Aryl Halide	Ligand	Base	Additive	Product	One Hot Encoding	Number of Compounds	Reaction SMILES	Yield
0	Cc1ccc(cc1)N	Clc1ccccn1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	Cc1onc(c1)C	Cc1ccc(cc1)Nc1ccccn1	0 1 2 3 4 5	50	Clc1ccccn1.Cc1ccc(cc1)N.Cc1onc(c1)C.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1ccccn1	0.7041045785
1	Cc1ccc(cc1)N	Brc1ccccn1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	COC(=O)c1ccno1	Cc1ccc(cc1)Nc1ccccn1	0 2 3 5 6 7	50	Brc1ccccn1.Cc1ccc(cc1)N.COC(=O)c1ccno1.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>Cc1ccc(cc1)Nc1ccccn1	0.1106445724
2	Cc1ccc(cc1)N	CCc1ccc(cc1)I	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	COC(=O)c1ccno1	CCc1ccc(cc1)Nc1ccc(cc1)C	0 3 7 8 9 10	50	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COC(=O)c1ccno1.CCc1ccc(cc1)I.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.1022354965
3	Cc1ccc(cc1)N	FC(c1ccc(cc1)Cl)(F)F	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC	CN1CCCN2C1=NCCC2	CCOC(=O)c1conc1	Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0 11 12 13 14 15	50	FC(c1ccc(cc1)Cl)(F)F.CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC.CCOC(=O)c1conc1>>Cc1ccc(cc1)Nc1ccc(cc1)C(F)(F)F	0.200833829
4	Cc1ccc(cc1)N	COc1ccc(cc1)Cl	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CN1CCCN2C1=NCCC2	Cc1onc(c1)C	COc1ccc(cc1)Nc1ccc(cc1)C	0 2 4 13 16 17	50	CN1CCCN2C1=NCCC2.Cc1ccc(cc1)N.Cc1onc(c1)C.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.COc1ccc(cc1)Cl>>COc1ccc(cc1)Nc1ccc(cc1)C	0.00492662711
5	Cc1ccc(cc1)N	COc1ccc(cc1)Cl	CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	CCOC(=O)c1ccon1	COc1ccc(cc1)Nc1ccc(cc1)C	0 16 17 18 19 20	50	CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C.Cc1ccc(cc1)N.COc1ccc(cc1)Cl.CCOC(=O)c1ccon1>>COc1ccc(cc1)Nc1ccc(cc1)C	0.0055350748399999
6	Cc1ccc(cc1)N	Brc1cccnc1	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CN1CCCN2C1=NCCC2	CCOC(=O)c1cnoc1C	Cc1ccc(cc1)Nc1cccnc1	0 2 13 21 22 23	50	CN1CCCN2C1=NCCC2.Brc1cccnc1.Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCOC(=O)c1cnoc1C>>Cc1ccc(cc1)Nc1cccnc1	0.4317813796999999
7	Cc1ccc(cc1)N	Ic1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CN1CCCN2C1=NCCC2	Cc1ccon1	Cc1ccc(cc1)Nc1ccccn1	0 5 9 13 24 25	50	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.CN1CCCN2C1=NCCC2.Cc1ccon1.Ic1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.6951698512000001
8	Cc1ccc(cc1)N	CCc1ccc(cc1)Br	COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC	CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C	CCOC(=O)c1ccon1	CCc1ccc(cc1)Nc1ccc(cc1)C	0 2 3 10 20 26	50	Cc1ccc(cc1)N.COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC.CCc1ccc(cc1)Br.CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C.CCOC(=O)c1ccon1>>CCc1ccc(cc1)Nc1ccc(cc1)C	0.0102318129099999
9	Cc1ccc(cc1)N	Brc1ccccn1	CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C	CN(C(=NC(C)(C)C)N(C)C)C	c1ccc(cc1)c1conc1	Cc1ccc(cc1)Nc1ccccn1	0 5 6 9 19 27	50	c1ccc(cc1)c1conc1.CN(C(=NC(C)(C)C)N(C)C)C.CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C.Brc1ccccn1.Cc1ccc(cc1)N>>Cc1ccc(cc1)Nc1ccccn1	0.3553815083
