Experiment,Specification,Model,Serial Number,Size of Train Set,R^2 Score,MAE Score
01a Reference without simulated bias,,BERT,1,2769.0,0.9312040609855776,0.0486732596389897
01a Reference without simulated bias,,BERT,2,2769.0,0.922272715090688,0.0482552026822413
01a Reference without simulated bias,,BERT,3,2769.0,0.9419828770082004,0.0457516404907545
01a Reference without simulated bias,,BERT,4,2769.0,0.9282938557209016,0.0472336865786107
01a Reference without simulated bias,,BERT,5,2769.0,0.9418804696945678,0.0444174499393242
01a Reference without simulated bias,,BERT,6,2769.0,0.9302068822919706,0.0470629025472643
01a Reference without simulated bias,,BERT,7,2769.0,0.9403980824655588,0.0443428501467755
01a Reference without simulated bias,,BERT,8,2769.0,0.9298415658093216,0.0453233990547374
01a Reference without simulated bias,,BERT,9,2769.0,0.9064601103317638,0.0496805546216304
01a Reference without simulated bias,,BERT,0,2769.0,0.9445036173154068,0.0440373222359345
01a Reference without simulated bias,,MFF,1,2769.0,0.9221792567862108,0.0500421389845986
01a Reference without simulated bias,,MFF,2,2769.0,0.9286841264106284,0.0469896235458784
01a Reference without simulated bias,,MFF,3,2769.0,0.9341384277679292,0.0469795026992541
01a Reference without simulated bias,,MFF,4,2769.0,0.9397101188456284,0.0454842085574561
01a Reference without simulated bias,,MFF,5,2769.0,0.9383259505851608,0.0466533310461096
01a Reference without simulated bias,,MFF,6,2769.0,0.9318206570930208,0.0461882101594634
01a Reference without simulated bias,,MFF,7,2769.0,0.9232204762803436,0.0477735225606422
01a Reference without simulated bias,,MFF,8,2769.0,0.927387404649296,0.0462856049156496
01a Reference without simulated bias,,MFF,9,2769.0,0.8749957081803328,0.0518788319606789
01a Reference without simulated bias,,MFF,0,2769.0,0.9363980934132669,0.0462243306347491
01a Reference without simulated bias,,OHE,1,2769.0,0.8908358651242357,0.0609069311958
01a Reference without simulated bias,,OHE,2,2769.0,0.903518421993454,0.0568036530725316
01a Reference without simulated bias,,OHE,3,2769.0,0.9006246365002288,0.0584519578075256
01a Reference without simulated bias,,OHE,4,2769.0,0.9036488783870928,0.0579260998027241
01a Reference without simulated bias,,OHE,5,2769.0,0.9120804524447268,0.0563796443721642
01a Reference without simulated bias,,OHE,6,2769.0,0.8947226067774062,0.058815993456587
01a Reference without simulated bias,,OHE,7,2769.0,0.8997412195209109,0.0567221415202316
01a Reference without simulated bias,,OHE,8,2769.0,0.8933373217443219,0.0595598884403423
01a Reference without simulated bias,,OHE,9,2769.0,0.8387188447873116,0.0675786344729431
01a Reference without simulated bias,,OHE,0,2769.0,0.8922139919364689,0.0596709851119618
01b Control Experiment under Target Shuffling,,BERT,1,2769.0,-0.1332408810432859,0.2422947682534952
01b Control Experiment under Target Shuffling,,BERT,2,2769.0,-0.2657614945342741,0.2514222462300367
01b Control Experiment under Target Shuffling,,BERT,3,2769.0,-0.0371950200171069,0.2293469952311634
01b Control Experiment under Target Shuffling,,BERT,4,2769.0,-0.0512034369998655,0.2300255741875647
01b Control Experiment under Target Shuffling,,BERT,5,2769.0,-0.1807641511244386,0.2479705537763699
01b Control Experiment under Target Shuffling,,BERT,6,2769.0,-0.0183036958206197,0.237484657076935
01b Control Experiment under Target Shuffling,,BERT,7,2769.0,-0.2875889084348659,0.2574304786770345
01b Control Experiment under Target Shuffling,,BERT,8,2769.0,-0.1584675999529878,0.2409696486821089
01b Control Experiment under Target Shuffling,,BERT,9,2769.0,-0.191785965065092,0.2496411056918684
01b Control Experiment under Target Shuffling,,BERT,0,2769.0,-0.105847477639174,0.2492280944280437
01b Control Experiment under Target Shuffling,,MFF,1,2769.0,-0.0971561746461926,0.2433969944073845
01b Control Experiment under Target Shuffling,,MFF,2,2769.0,-0.0834237926906633,0.2410398534331121
01b Control Experiment under Target Shuffling,,MFF,3,2769.0,-0.1065509754247282,0.2487830106769301
01b Control Experiment under Target Shuffling,,MFF,4,2769.0,-0.0935657028306371,0.2403478564703237
01b Control Experiment under Target Shuffling,,MFF,5,2769.0,-0.1114716395351114,0.2410494770658239
01b Control Experiment under Target Shuffling,,MFF,6,2769.0,-0.0662606659753486,0.2391475030437597
01b Control Experiment under Target Shuffling,,MFF,7,2769.0,-0.0966883817019401,0.2410406075089831
01b Control Experiment under Target Shuffling,,MFF,8,2769.0,-0.081522145885639,0.2438920196186567
01b Control Experiment under Target Shuffling,,MFF,9,2769.0,-0.1075265668132945,0.2374364053207841
01b Control Experiment under Target Shuffling,,MFF,0,2769.0,-0.0533343108909669,0.2374646465865668
01b Control Experiment under Target Shuffling,,OHE,1,2769.0,-0.1475253588265177,0.2465934966164301
01b Control Experiment under Target Shuffling,,OHE,2,2769.0,-0.1443025655531133,0.2452042669310835
01b Control Experiment under Target Shuffling,,OHE,3,2769.0,-0.1556496326184837,0.2470374732329796
01b Control Experiment under Target Shuffling,,OHE,4,2769.0,-0.1256537782531006,0.2468935724860697
01b Control Experiment under Target Shuffling,,OHE,5,2769.0,-0.149039314180448,0.2442698521725372
01b Control Experiment under Target Shuffling,,OHE,6,2769.0,-0.097119580720248,0.2421270559865345
01b Control Experiment under Target Shuffling,,OHE,7,2769.0,-0.1295107316304951,0.2412194530175973
01b Control Experiment under Target Shuffling,,OHE,8,2769.0,-0.1086107039744428,0.2424086450941416
01b Control Experiment under Target Shuffling,,OHE,9,2769.0,-0.1390768396027344,0.2428953991289698
01b Control Experiment under Target Shuffling,,OHE,0,2769.0,-0.1545660893864127,0.2454796912874913
01c Control Experiment without consideration of additive,,BERT,1,128.0,0.7522684380429563,0.1117320269939003
01c Control Experiment without consideration of additive,,BERT,2,129.0,0.653745951648687,0.1091953061431275
01c Control Experiment without consideration of additive,,BERT,3,127.0,0.6534323822462242,0.116647083246069
01c Control Experiment without consideration of additive,,BERT,4,133.0,0.6945090441796298,0.1125568905276033
01c Control Experiment without consideration of additive,,BERT,5,119.0,0.5675340437650414,0.1214055959985863
01c Control Experiment without consideration of additive,,BERT,6,129.0,0.4025056434959772,0.1315908900409826
01c Control Experiment without consideration of additive,,BERT,7,127.0,0.5697874215326354,0.1294629691515218
01c Control Experiment without consideration of additive,,BERT,8,131.0,0.6649585617861683,0.1081467936604029
01c Control Experiment without consideration of additive,,BERT,9,118.0,0.7215743562888599,0.1047500788417662
01c Control Experiment without consideration of additive,,BERT,0,130.0,0.7837774478021858,0.0858276028764889
01c Control Experiment without consideration of additive,,MFF,1,128.0,0.923385783157786,0.0566286338708675
01c Control Experiment without consideration of additive,,MFF,2,129.0,0.8107830235101954,0.0745804827935961
01c Control Experiment without consideration of additive,,MFF,3,127.0,0.8811631168137318,0.0612713435434828
01c Control Experiment without consideration of additive,,MFF,4,133.0,0.9485793537845404,0.0450743650124125
01c Control Experiment without consideration of additive,,MFF,5,119.0,0.8630429139401019,0.0610175905216013
01c Control Experiment without consideration of additive,,MFF,6,129.0,0.8388397239666804,0.0670345320949766
01c Control Experiment without consideration of additive,,MFF,7,127.0,0.8401774285441068,0.0683306549877819
01c Control Experiment without consideration of additive,,MFF,8,131.0,0.8397205835981925,0.0676789978096065
01c Control Experiment without consideration of additive,,MFF,9,118.0,0.863590438114423,0.0660933566813217
01c Control Experiment without consideration of additive,,MFF,0,130.0,0.89778862072461,0.0581174534301212
01c Control Experiment without consideration of additive,,OHE,1,128.0,0.9343716889053753,0.0520691573772696
01c Control Experiment without consideration of additive,,OHE,2,129.0,0.7780181681988708,0.0779440016146144
01c Control Experiment without consideration of additive,,OHE,3,127.0,0.8813210692473189,0.065360957536155
01c Control Experiment without consideration of additive,,OHE,4,133.0,0.933089200392344,0.0479208511831257
01c Control Experiment without consideration of additive,,OHE,5,119.0,0.8635088092254374,0.057732837686098
01c Control Experiment without consideration of additive,,OHE,6,129.0,0.8620848278461893,0.0594655453485788
01c Control Experiment without consideration of additive,,OHE,7,127.0,0.8528830297413947,0.0629398384118058
01c Control Experiment without consideration of additive,,OHE,8,131.0,0.8545419179048593,0.0646373491166431
01c Control Experiment without consideration of additive,,OHE,9,118.0,0.9167242147327812,0.0554607931185238
01c Control Experiment without consideration of additive,,OHE,0,130.0,0.8986832885144921,0.0582472942577411
01c Control Experiment without consideration of base,,BERT,1,913.0,0.9150894850396926,0.0607595253988814
01c Control Experiment without consideration of base,,BERT,2,919.0,0.905554226072198,0.0576563848267459
01c Control Experiment without consideration of base,,BERT,3,930.0,0.920162732001276,0.0607066588231887
01c Control Experiment without consideration of base,,BERT,4,916.0,0.9224143572718092,0.0581897075102512
01c Control Experiment without consideration of base,,BERT,5,933.0,0.9338644847093134,0.0512457311131691
01c Control Experiment without consideration of base,,BERT,6,927.0,0.9113565690441844,0.0579239037613769
01c Control Experiment without consideration of base,,BERT,7,937.0,0.9179971580586772,0.0574584839659465
01c Control Experiment without consideration of base,,BERT,8,904.0,0.9248389735776872,0.0548222513589394
01c Control Experiment without consideration of base,,BERT,9,918.0,0.8935374276368541,0.0611173649139386
01c Control Experiment without consideration of base,,BERT,0,932.0,0.9323951964538808,0.0544903489343532
01c Control Experiment without consideration of base,,MFF,1,913.0,0.9423501565299108,0.0517185829411042
01c Control Experiment without consideration of base,,MFF,2,919.0,0.9206006183492008,0.0548346639855238
01c Control Experiment without consideration of base,,MFF,3,930.0,0.9441995389967492,0.0502308470169704
01c Control Experiment without consideration of base,,MFF,4,916.0,0.9400772943014024,0.0499737527564309
01c Control Experiment without consideration of base,,MFF,5,933.0,0.9456740497658976,0.0500656258524653
01c Control Experiment without consideration of base,,MFF,6,927.0,0.9397676472473856,0.048070225783378
01c Control Experiment without consideration of base,,MFF,7,937.0,0.9360367183317518,0.0507474005395029
01c Control Experiment without consideration of base,,MFF,8,904.0,0.9414778492654372,0.0490409785687588
01c Control Experiment without consideration of base,,MFF,9,918.0,0.8994722881908978,0.0565636148403239
01c Control Experiment without consideration of base,,MFF,0,932.0,0.9433834070169532,0.0479652563358496
01c Control Experiment without consideration of base,,OHE,1,913.0,0.9131304945798244,0.0601792811884431
01c Control Experiment without consideration of base,,OHE,2,919.0,0.8821898648795046,0.0649951093085316
01c Control Experiment without consideration of base,,OHE,3,930.0,0.9092523926373982,0.0629156030242891
01c Control Experiment without consideration of base,,OHE,4,916.0,0.8984688613930557,0.0645051018495689
01c Control Experiment without consideration of base,,OHE,5,933.0,0.9009726080284468,0.0635609210025853
01c Control Experiment without consideration of base,,OHE,6,927.0,0.8870380664657672,0.0652633194508382
