Experiment,Specification,Model,Serial Number,Size of Train Set,R^2 Score,MAE Score
01a Reference without simulated bias,,BERT,1.0,4033.0,0.7892981215001841,0.08679369428150377
01a Reference without simulated bias,,BERT,2.0,4033.0,0.77379204582754,0.08989378112440125
01a Reference without simulated bias,,BERT,3.0,4033.0,0.7890042307060713,0.08622526173166994
01a Reference without simulated bias,,BERT,4.0,4033.0,0.7998897361393162,0.08470495038323587
01a Reference without simulated bias,,BERT,5.0,4033.0,0.7974543233362295,0.08469890598139942
01a Reference without simulated bias,,BERT,6.0,4033.0,0.8341198196448198,0.07813303756629711
01a Reference without simulated bias,,BERT,7.0,4033.0,0.8183648756216694,0.08225543075637216
01a Reference without simulated bias,,BERT,8.0,4033.0,0.804326938372115,0.08348639377448143
01a Reference without simulated bias,,BERT,9.0,4033.0,0.8020114153843553,0.08389037269463978
01a Reference without simulated bias,,BERT,0.0,4033.0,0.8076740110362559,0.08272721161704523
01a Reference without simulated bias,,MFF,1.0,4033.0,0.8407605510992482,0.07606863298955557
01a Reference without simulated bias,,MFF,2.0,4033.0,0.8324265403523045,0.07689416818338572
01a Reference without simulated bias,,MFF,3.0,4033.0,0.8422812128017808,0.07589220398630057
01a Reference without simulated bias,,MFF,4.0,4033.0,0.8417360988177216,0.07507517865149346
01a Reference without simulated bias,,MFF,5.0,4033.0,0.8333042419278247,0.07741158019537908
01a Reference without simulated bias,,MFF,6.0,4033.0,0.8597986460005008,0.07309998991082865
01a Reference without simulated bias,,MFF,7.0,4033.0,0.8501769187647898,0.07605589334181694
01a Reference without simulated bias,,MFF,8.0,4033.0,0.8374562460168605,0.0756631241606388
01a Reference without simulated bias,,MFF,9.0,4033.0,0.8450946531051194,0.07551600251658225
01a Reference without simulated bias,,MFF,0.0,4033.0,0.8420154405154316,0.07481310352831916
01a Reference without simulated bias,,OHE,1.0,4033.0,0.7909038340844806,0.08985667852489454
01a Reference without simulated bias,,OHE,2.0,4033.0,0.7731633019211713,0.09252138074290266
01a Reference without simulated bias,,OHE,3.0,4033.0,0.7977572193782831,0.08754958627111943
01a Reference without simulated bias,,OHE,4.0,4033.0,0.7979557564415398,0.08678726201076767
01a Reference without simulated bias,,OHE,5.0,4033.0,0.7883945938800357,0.09004548715458681
01a Reference without simulated bias,,OHE,6.0,4033.0,0.812963336714787,0.08534571428534561
01a Reference without simulated bias,,OHE,7.0,4033.0,0.8091167230891921,0.0856097474363223
01a Reference without simulated bias,,OHE,8.0,4033.0,0.7870495464724949,0.08923520197383056
01a Reference without simulated bias,,OHE,9.0,4033.0,0.7938690407015715,0.08830694304499546
01a Reference without simulated bias,,OHE,0.0,4033.0,0.7905813541484901,0.08816325333874704
01b Control Experiment under Target Shuffling,,BERT,1.0,4033.0,-0.16581000898764975,0.25564068717800137
01b Control Experiment under Target Shuffling,,BERT,2.0,4033.0,-0.030876551585723225,0.2472958330726182
01b Control Experiment under Target Shuffling,,BERT,3.0,4033.0,-0.44347952521083855,0.2818685586926508
01b Control Experiment under Target Shuffling,,BERT,4.0,4033.0,-0.015129353155127978,0.2455480423676052
01b Control Experiment under Target Shuffling,,BERT,5.0,4033.0,-0.4511257424464454,0.272912938550436
01b Control Experiment under Target Shuffling,,BERT,6.0,4033.0,-0.03457351290752486,0.25127234976410484
01b Control Experiment under Target Shuffling,,BERT,7.0,4033.0,-0.06477024815544175,0.2496225341334675
01b Control Experiment under Target Shuffling,,BERT,8.0,4033.0,-0.2270896165833063,0.2623548881397497
01b Control Experiment under Target Shuffling,,BERT,9.0,4033.0,-0.015453275932207022,0.2437475878441469
01b Control Experiment under Target Shuffling,,BERT,0.0,4033.0,-0.198604523542338,0.2565791784658346
01b Control Experiment under Target Shuffling,,MFF,1.0,4033.0,-0.08922934570803842,0.2458116217312795
01b Control Experiment under Target Shuffling,,MFF,2.0,4033.0,-0.08657316823194018,0.2542644765816693
01b Control Experiment under Target Shuffling,,MFF,3.0,4033.0,-0.0606718676489737,0.25518403962219377
01b Control Experiment under Target Shuffling,,MFF,4.0,4033.0,-0.09323378460374764,0.2490089003843474
